Sales Region;Sales Country;Vehicle Production Region;Vehicle Production Country;OEM Group;Brand;Make Model;Global Segment;Propulsion;Fast-Charging;Battery kWh;Cathode Chemistry;Cell Supplier;2009;2010;2011;2012;jan-13;feb-13;mar-13;apr-13;maj-13;jun-13;jul-13;aug-13;sep-13;okt-13;nov-13;dec-13;2013;jan-14;feb-14;mar-14;apr-14;maj-14;jun-14;jul-14;aug-14;sep-14;okt-14;nov-14;dec-14;2014;jan-15;feb-15;mar-15;apr-15;maj-15;jun-15;jul-15;aug-15;sep-15;okt-15;nov-15;dec-15;2015;jan-16;feb-16;mar-16;apr-16;maj-16;jun-16;jul-16;aug-16;sep-16;okt-16;nov-16;dec-16;2016;jan-17;feb-17;mar-17;apr-17;maj-17;jun-17;jul-17;aug-17;sep-17;okt-17;nov-17;dec-17;2017;jan-18;feb-18;mar-18;apr-18;maj-18;jun-18;jul-18;aug-18;sep-18;okt-18;nov-18;dec-18;2018;jan-19;feb-19;mar-19;apr-19;maj-19;jun-19;jul-19;aug-19;sep-19;okt-19;nov-19;dec-19;2019;jan-20;feb-20;mar-20;apr-20;maj-20;jun-20;jul-20;aug-20;sep-20;okt-20;2020;Cumulative Sales
Americas;USA;Europe;Germany;BMW Group;BMW;BMW 740e PHEV;Car-F;PHEV;NA;9,2;NMC;Samsung SDI;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;23;23;18;35;42;123;33;52;80;39;43;55;120;67;707;18;23;31;60;17;16;34;12;26;15;26;27;305;6;15;17;5;12;5;5;1;;;;;66;;;;;;;;;;;0;1101
Americas;USA;Europe;Germany;BMW Group;BMW;BMW 745e PHEV;Car-F;PHEV;NA;12;NMC;Samsung SDI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;10;17;14;4;16;23;38;45;167;23;29;11;8;27;27;19;26;37;;207;374
Americas;USA;Americas;USA;BMW Group;BMW;BMW X3 30e PHEV;SUV-D;PHEV;NA;12;NMC;Samsung SDI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;228;462;563;;1253;1253
Americas;USA;Americas;USA;BMW Group;BMW;BMW X5 45e PHEV;SUV-E;PHEV;NA;23,8;NMC;Samsung SDI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;5;7;10;46;21;47;;148;148
Americas;USA;Europe;France;Other;Bollore;Bollore Blue Car EV;Car-B;BEV;NA;30;LMP;Bollore;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;50;15;15;15;15;110;30;30;30;30;20;0;20;;30;;20;0;210;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;0;320
Americas;USA;Americas;USA;GM;Cadillac;Cadillac ELR EREV;Car-C;PHEV;NA;16 - 17,1;NMC;LG Chem;;;;;;;;;;;;;;;;6;6;41;58;81;61;52;97;188;196;111;152;155;118;1310;92;127;92;104;116;62;66;45;36;82;67;135;1024;67;91;104;95;45;94;15;6;6;3;5;3;534;3;;2;2;;7;2;1;;;;;17;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;0;2891
Americas;USA;Asia-Pacific;China;GM;Cadillac;Cadillac CT6 PHEV;Car-E;PHEV;NA;18,4;NMC;LG Chem;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;8;16;20;22;23;27;27;29;35;207;6;24;17;42;30;18;16;11;19;18;16;44;261;1;2;8;9;5;10;;2;4;;;1;42;;;2;;;8;;;;;10;520
Americas;USA;Americas;USA;GM;Chevrolet;Chevrolet Bolt EV;MPV-B;BEV;CCS;60 / 66;NMC;LG Chem;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;579;579;1162;952;978;1292;1566;1642;1971;2107;2632;2781;2987;3227;23297;1177;1424;1774;1045;1125;1313;1077;1325;1547;1710;2062;2440;18019;898;1100;2318;922;1590;1453;1322;1640;1868;1025;1101;1181;16418;3196;1802;875;666;915;917;1065;1342;3275;;14053;72366
Americas;USA;Asia-Pacific;South Korea;GM;Chevrolet;Chevrolet Spark EV;Car-B;BEV;CCS;19;NMC;LG Chem;;;;;;;;;;27;103;102;78;66;87;76;539;93;71;108;97;182;85;128;80;51;58;61;131;1145;86;119;151;920;283;226;57;135;157;177;166;152;2629;139;216;252;419;394;359;333;292;315;260;39;17;3035;4;4;3;1;;1;1;;;;7;2;23;1;;;;1;5;;;;;;;7;;;;;;;;;;;;;0;;;;;;;;;;;0;7378
Americas;USA;Americas;USA;GM;Chevrolet;Chevrolet Volt EREV;Car-C;PHEV;NA;16 - 17,1;NMC;LG Chem;;326;7671;23461;1140;1626;1478;1306;1607;2698;1788;3351;1766;2022;1920;2392;23094;918;1210;1478;1548;1684;1777;2020;2511;1394;1439;1336;1490;18805;542;693;639;905;1618;1225;1313;1380;949;1335;980;514;12093;396;126;65;;;;;;;;;;587;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;0;86037
